sent_id,de,en,ru,level,source,audio,tatoeba_audio_license
t11069401,Er machte einen sehr guten Eindruck beim Vorstellungsgespräch.,He made a very good impression at the job interview.,Он произвёл на собеседовании очень хорошее впечатление.,B1,tatoeba:11069401,sent_t11069401.mp3,
t3851994,"Einerseits ist es gefährlich, andererseits ist es interessant. Auf jeden Fall ist es nötig.",On the one hand it is dangerous. On the other hand it is interesting. From both points of view it is necessary.,"С одной стороны, это опасно, с другой — интересно. В любом случае это необходимо.",B1,tatoeba:3851994,sent_t3851994.mp3,
t7484310,Wo befindet sich die Einfahrt zur Tiefgarage?,Where's the entrance to the underground car park?,Где находится въезд в подземную парковку?,B1,tatoeba:7484310,sent_t7484310.mp3,
t1783430,Gestern kam mir ein guter Einfall in den Sinn.,Yesterday I hit on a good idea.,Мне в голову вчера пришла одна хорошая идея.,B1,tatoeba:1783430,sent_t1783430.mp3,
t13190678,"Wenn dir noch etwas einfällt, ruf mich an.","If you think of anything else, call me.","Если ещё что-нибудь в голову придёт, звони мне.",B1,tatoeba:13190678,sent_t13190678.mp3,
t481854,Solche Magazine haben einen großen Einfluss auf Kinder.,Such magazines have a great influence on children.,Такие журналы имеют большое влияние на детей.,B1,tatoeba:481854,sent_t481854.mp3,
t3827739,Bitte ein Komma nach diesem Wort einfügen!,Please add a comma after this word.,"Пожалуйста, вставьте запятую после этого слова!",B1,tatoeba:3827739,sent_t3827739.mp3,
g-einfuehren-v,Die Regierung will eine neue Steuer einführen.,The government wants to introduce a new tax.,Правительство хочет ввести новый налог.,B1,llm,sent_g-einfuehren-v.mp3,
g-einfuehrung-n,Die Einführung des Mindestlohns wurde lange diskutiert.,The introduction of the minimum wage was debated for a long time.,Введение минимальной зарплаты долго обсуждалось.,B1,llm,sent_g-einfuehrung-n.mp3,
g-einheitlich-a,Diese Städte haben einheitliche Verkehrsregeln.,These cities have uniform traffic rules.,В этих городах единые правила дорожного движения.,B1,llm,sent_g-einheitlich-a.mp3,
t1070986,Schließlich einigten wir uns auf einen Kompromiss.,"In the end, we reached a compromise.",Мы наконец пришли к компромиссу.,B1,tatoeba:1070986,sent_t1070986.mp3,
t366502,Ich habe den Einkauf bar bezahlt.,I paid for the purchase in cash.,Я заплатил за покупку наличными.,B1,tatoeba:366502,sent_t366502.mp3,
t13509105,Mein Einkommen hat sich um zehn Prozent verringert.,My income has gone down by 10 percent.,Мой доход уменьшился на 10 процентов.,B1,tatoeba:13509105,sent_t13509105.mp3,
g-einnahme-n,Die Einnahmen des Geschäfts sind deutlich gestiegen.,The shop's revenue has risen significantly.,Выручка магазина значительно выросла.,B1,llm,sent_g-einnahme-n.mp3,
t1099296,Das Medikament muss dreimal täglich eingenommen werden.,This medicine must be taken three times a day.,Это лекарство надо принимать три раза в день.,B1,tatoeba:1099296,sent_t1099296.mp3,
t3399726,"Wir freuen uns, dass Sie es einrichten konnten.",We're so glad you could make it.,"Мы рады, что вы смогли прийти.",B1,tatoeba:3399726,sent_t3399726.mp3,
t7795858,Die Einrichtung in seinem Büro ist sehr modern.,The furniture in his office is very modern.,Обстановка у него в офисе очень современная.,B1,tatoeba:7795858,sent_t7795858.mp3,
t2590313,Ich fühle mich so einsam.,I feel so lonely.,Мне так одиноко.,B1,tatoeba:2590313,sent_t2590313.mp3,CC BY-NC 4.0
t13415491,Ich habe das Licht in der Küche eingeschaltet.,I turned the light in the kitchen on.,Я включил свет на кухне.,B1,tatoeba:13415491,sent_t13415491.mp3,
t2262304,Was ist der Preis pro Nacht einschließlich aller Nebenkosten?,What's the price per night including all charges?,"Какова цена за ночь, включая все дополнительные расходы?",B1,tatoeba:2262304,sent_t2262304.mp3,
t1813628,Ich möchte das hier gerne per Einschreiben verschicken.,I want to send this by registered mail.,Я хотел бы отправить это заказным письмом.,B1,tatoeba:1813628,sent_t1813628.mp3,
t8195550,Blutegel werden auch heute noch in der Medizin eingesetzt.,Leeches are still used in medicine today.,Пиявки до сих пор используются в медицине.,B1,tatoeba:8195550,sent_t8195550.mp3,
t13143298,"Tom hat vor, jemanden einzustellen, der Französisch kann.",Tom plans to hire someone that speaks French.,"Том планирует нанять кого-нибудь, кто говорит по-французски.",B1,tatoeba:13143298,sent_t13143298.mp3,
t2416101,"Tom und Mary küssten sich gerade, als ich eintrat.",Tom and Mary were kissing each other when I walked in.,"Том и Мэри лобзались, когда я вошёл.",B1,tatoeba:2416101,sent_t2416101.mp3,
t2297140,Das ist ein Dorf mit zweihundert Einwohnern.,It's a village of two hundred inhabitants.,Это деревня в двести жителей.,B1,tatoeba:2297140,sent_t2297140.mp3,
g-einwohnerin-n,Eine Einwohnerin hilft den älteren Nachbarn regelmäßig.,A female resident regularly helps the older neighbors.,Одна жительница регулярно помогает пожилым соседям.,B1,llm,sent_g-einwohnerin-n.mp3,
t10655152,"Man kann an diesem Geldautomaten nicht nur Geld abheben, sondern auch einzahlen.","This cash machine lets you not only withdraw money, but also deposit it.","В этом банкомате можно не только снимать, но и класть деньги.",B1,tatoeba:10655152,sent_t10655152.mp3,
g-einzahlung-n,Die Einzahlung auf mein Konto wurde gestern bestätigt.,The deposit into my account was confirmed yesterday.,Внесение денег на мой счёт вчера подтвердили.,B1,llm,sent_g-einzahlung-n.mp3,
g-einzel-o,Einzelzimmer sind in diesem Hotel besonders teuer.,Single rooms are particularly expensive in this hotel.,Одноместные номера в этой гостинице особенно дорогие.,B1,llm,sent_g-einzel-o.mp3,
t11088139,Die Einzelheiten brauchst du nicht zu wissen.,You don't need to know the details.,Подробностей тебе знать не нужно.,B1,tatoeba:11088139,sent_t11088139.mp3,
t5699029,Das ist meine einzige Hoffnung.,It's my only hope.,Это моя единственная надежда.,B1,tatoeba:5699029,sent_t5699029.mp3,
t4271112,Sein Vater arbeitete bei der Eisenbahn.,His father worked on the railway.,Его отец был железнодорожником.,B1,tatoeba:4271112,sent_t4271112.mp3,
t4919687,Ich kleide mich gern elegant.,I like dressing elegantly.,Я люблю элегантно одеваться.,B1,tatoeba:4919687,sent_t4919687.mp3,
g-elektr-o,Elektrische Geräte verbrauchen im Haushalt viel Strom.,Electric devices use a lot of electricity at home.,Электрические приборы дома потребляют много электричества.,B1,llm,sent_g-elektr-o.mp3,
t3391752,Dieses elektrische Auto wird durch Batterien betrieben.,This electric car is powered by batteries.,Этот электромобиль работает на батареях.,B1,tatoeba:3391752,sent_t3391752.mp3,
g-elektro-o,Elektroautos fahren ohne Benzin.,Electric cars drive without petrol.,Электромобили ездят без бензина.,B1,llm,sent_g-elektro-o.mp3,
g-elektronisch-a,Ich lese die Zeitung in elektronischer Form.,I read the newspaper in electronic form.,Я читаю газету в электронном виде.,B1,llm,sent_g-elektronisch-a.mp3,
t1907659,Tom beklagte sich am Empfang über den Lärm.,Tom complained at the front desk about the noise.,Том пожаловался на шум на стойке регистрации.,B1,tatoeba:1907659,sent_t1907659.mp3,
t13084502,"Wer bleibt zu Hause, um die Gäste zu empfangen?",Who's going to stay at home to receive the guests?,"Кто останется дома, чтоб принимать гостей?",B1,tatoeba:13084502,sent_t13084502.mp3,
t3692734,Dank Ihrer Empfehlung bekam Tom die Stelle.,Tom got the job on the strength of your recommendation.,Том получил работу благодаря вашей рекомендации.,B1,tatoeba:3692734,sent_t3692734.mp3,
t654418,Diese Entscheidung ist endgültig.,This decision is final.,Это решение окончательно.,B1,tatoeba:654418,sent_t654418.mp3,
t1913184,"Wenn ich meinen Enkel besuche, schenke ich ihm immer etwas.","When I go to see my grandson, I always give him something.","Когда я навещаю своего внука, я всегда ему что-нибудь дарю.",B1,tatoeba:1913184,sent_t1913184.mp3,
t11031632,Meine Enkelin ist acht Jahre alt.,My granddaughter is eight.,Моей внучке восемь лет.,B1,tatoeba:11031632,sent_t11031632.mp3,
g-entdecken-v,Auf der Reise entdeckten wir ein schönes Dorf.,"During the trip, we discovered a beautiful village.",Во время поездки мы открыли для себя красивую деревню.,B1,llm,sent_g-entdecken-v.mp3,
t6691385,Er entfernte den USB-Stick vom Computer.,He removed the USB stick from the computer.,Он вынул флешку с компьютера.,B1,tatoeba:6691385,sent_t6691385.mp3,
t770426,"Wir glauben, dass Sie uns beim Preis entgegenkommen können.",We believe that you will be able to make a price concession.,"Мы считаем, что вы сможете уступить нам в цене.",B1,tatoeba:770426,sent_t770426.mp3,
t370210,Ist das Frühstück im Preis enthalten?,Does that price include breakfast?,Включен ли завтрак в стоимость?,B1,tatoeba:370210,sent_t370210.mp3,CC BY 4.0
t860246,Wir machten einen Spaziergang den Fluss entlang.,We took a walk along the river.,Мы прогулялись вдоль реки.,B1,tatoeba:860246,sent_t860246.mp3,
t748834,Für Tom war die Entlassung ein unerwarteter Schock.,"For Tom, getting fired was an unexpected shock.",Для Тома увольнение стало неожиданным потрясением.,B1,tatoeba:748834,sent_t748834.mp3,
t327,"Du entscheidest, ob wir dahin gehen oder nicht.",It is up to you to decide whether we will go there or not.,"Ты решишь, пойдём ли мы туда или нет.",B1,tatoeba:327,sent_t327.mp3,
t3807096,Die Entscheidung liegt bei dir.,The decision is yours.,Решение за тобой.,B1,tatoeba:3807096,sent_t3807096.mp3,
t7637010,"Tom entschloss sich, es noch einmal zu versuchen.",Tom made up his mind to try again.,Том решил попробовать ещё раз.,B1,tatoeba:7637010,sent_t7637010.mp3,
g-entschlossen-o,"Sie ist entschlossen, ihre Prüfung zu bestehen.",She is determined to pass her exam.,Она настроена сдать экзамен.,B1,llm,sent_g-entschlossen-o.mp3,
g-entsorgen-v,Bitte entsorgen Sie Ihren Müll in den Mülltonnen draußen.,Please put your waste in the bins outside.,"Пожалуйста, выбрасывайте мусор в контейнеры на улице.",B1,llm,sent_g-entsorgen-v.mp3,
t10016619,Heute entspanne ich mich zu Hause.,I'm relaxing at home today.,Сегодня я дома отдыхаю.,B1,tatoeba:10016619,sent_t10016619.mp3,
g-entstehen-v,Durch den Streit ist ein großes Problem entstanden.,A major problem arose from the argument.,Из-за спора возникла большая проблема.,B1,llm,sent_g-entstehen-v.mp3,
t12287772,"Ich verspreche, dass ich dich nicht enttäuschen werde.",I promise that I won't let you down.,"Обещаю, что не подведу тебя.",B1,tatoeba:12287772,sent_t12287772.mp3,
t3304063,Zu meiner großen Enttäuschung kam sie nicht.,"Much to my disappointment, she did not come.","К моему великому разочарованию, она не пришла.",B1,tatoeba:3304063,sent_t3304063.mp3,
t2023366,"Entweder wollen sie nicht, oder sie können nicht.",Either they don't want to or they can't.,"Они или не хотят, или не могут.",B1,tatoeba:2023366,sent_t2023366.mp3,
t2678393,"Der Markt wuchs, und das Unternehmen entwickelte sich rasant.","The market grew, and the business developed rapidly.","Рынок рос, и компания быстро развивалась.",B1,tatoeba:2678393,sent_t2678393.mp3,
g-entwickelung-n,Die technische Entwickelung verändert unseren Alltag.,Technological development is changing our daily lives.,Техническое развитие меняет нашу повседневную жизнь.,B1,llm,sent_g-entwickelung-n.mp3,
t342784,Die wirtschaftliche Entwicklung ist wichtig für Afrika.,Economic development is important for Africa.,Экономическое развитие важно для Африки.,B1,tatoeba:342784,sent_t342784.mp3,
t11270197,Erdäpfel sind keine Äpfel.,Potatoes aren't apples.,Картошка не яблоки.,B1,tatoeba:11270197,sent_t11270197.mp3,
t363903,Im Vergleich zur Sonne ist die Erde klein.,The earth is small in comparison with the sun.,Земля мала по сравнению с Солнцем.,B1,tatoeba:363903,sent_t363903.mp3,CC BY-NC 4.0
t363450,Der Unfall ereignete sich heute vor einem Jahr.,The accident happened a year ago today.,Авария произошла ровно год назад.,B1,tatoeba:363450,sent_t363450.mp3,
t750590,Das Ereignis ist uns noch frisch in Erinnerung.,The event is still fresh in our memory.,Событие ещё свежо в нашей памяти.,B1,tatoeba:750590,sent_t750590.mp3,
t4905148,"Wie haben Sie von dem, was geschah, erfahren?",How did you find out about what happened?,"Как вы узнали о том, что произошло?",B1,tatoeba:4905148,sent_t4905148.mp3,
t1953271,Du musst das Fahrrad kein zweites Mal erfinden.,You don't need to reinvent the wheel.,Не надо изобретать велосипед.,B1,tatoeba:1953271,sent_t1953271.mp3,
t381393,Die Waschmaschine ist eine wundervolle Erfindung.,The washing machine is a wonderful invention.,Стиральная машина - чудесное изобретение.,B1,tatoeba:381393,sent_t381393.mp3,
t360833,Ich habe keinen Zweifel an seinem Erfolg.,I have no doubt that he will succeed.,У меня нет никаких сомнений в его успехе.,B1,tatoeba:360833,sent_t360833.mp3,
t8223928,Ich war nicht so erfolgreich wie Tom.,I wasn't as successful as Tom was.,"Я был не так успешен, как Том.",B1,tatoeba:8223928,sent_t8223928.mp3,
t8805371,Eine gute Vorbereitung ist für die Prüfung erforderlich.,It's essential to be well prepared for the exam.,Для экзамена необходима хорошая подготовка.,B1,tatoeba:8805371,sent_t8805371.mp3,
t8074775,Schwierige Probleme erfordern phantasievolle Lösungen.,Difficult problems require imaginative solutions.,Сложные проблемы требуют творческих решений.,B1,tatoeba:8074775,sent_t8074775.mp3,
t1922409,Mögen alle deine Träume sich erfüllen!,May all your dreams come true.,Пусть сбудутся все твои мечты.,B1,tatoeba:1922409,sent_t1922409.mp3,
t4498000,Wir ergänzen uns gegenseitig.,We complement each other.,Мы дополняем друг друга.,B1,tatoeba:4498000,sent_t4498000.mp3,
t5962827,Ich habe keine Antwort erhalten.,I got no answer.,Я не получил ответа.,B1,tatoeba:5962827,sent_t5962827.mp3,
t411752,"Tom, der den ganzen Tag gearbeitet hatte, wollte sich erholen.","Tom, who had been working all day, wanted to have a rest.","Том, отработав целый день, хотел отдохнуть.",B1,tatoeba:411752,sent_t411752.mp3,
t2844228,Die Erholung hat mir sehr gutgetan.,The holiday did me the world of good.,Отдых пошёл мне на пользу.,B1,tatoeba:2844228,sent_t2844228.mp3,
t766325,"Der Hausbesitzer sagt, dass er die Miete erhöhen will.",The landlord says he wants to raise the rent.,"Домовладелец говорит, что хочет повысить арендную плату.",B1,tatoeba:766325,sent_t766325.mp3,
t4101299,Es wurde gegen die Erhöhung der Studiengebühren protestiert.,They demonstrated against the raising of the tuition fees.,Против повышения платы за обучение протестовали.,B1,tatoeba:4101299,sent_t4101299.mp3,
t2924925,"Ich erkannte sie, kaum dass ich sie sah.",I recognized her the moment I saw her.,"Я узнал её, как только увидел.",B1,tatoeba:2924925,sent_t2924925.mp3,CC BY-NC 4.0
t205,Danke für Ihre Erklärung.,Thanks for your explanation.,Спасибо за объяснение.,B1,tatoeba:205,sent_t205.mp3,CC BY-NC 4.0
t446446,"Ich erkundigte mich, ob das Flugzeug pünktlich ankäme.",I inquired whether the plane would arrive on time.,"Я спросил, прибудет ли самолёт вовремя.",B1,tatoeba:446446,sent_t446446.mp3,
t639462,"Passen Sie auf, dass Sie sich nicht erkälten.",Be careful not to catch a cold.,Смотрите не простудитесь.,B1,tatoeba:639462,sent_t639462.mp3,
t341094,Meine Stimme ist rau wegen der Erkältung.,My voice is hoarse from a cold.,У меня хриплый голос из-за простуды.,B1,tatoeba:341094,sent_t341094.mp3,CC BY-NC 4.0
t2407991,Viele Studenten erleben Prüfungsangst.,Many students experience exam nerves.,Многие студенты испытывают страх перед экзаменами.,B1,tatoeba:2407991,sent_t2407991.mp3,
t3608560,Das war ein schönes Erlebnis.,That was a good time.,Это было прекрасное событие.,B1,tatoeba:3608560,sent_t3608560.mp3,
t7901193,Wir müssen vor der Abreise noch etwas erledigen.,We've still got something to do before we leave.,Нам ещё нужно кое-что сделать перед отъездом.,B1,tatoeba:7901193,sent_t7901193.mp3,
t10293166,Das wird uns die Arbeit sehr erleichtern.,This will make our job much easier.,Это намного облегчит нам работу.,B1,tatoeba:10293166,sent_t10293166.mp3,
t391509,Meinst du das ernst?,Are you serious?,Ты серьёзно?,B1,tatoeba:391509,sent_t391509.mp3,CC BY-NC 4.0
t527112,Lass uns ernsthaft über deine Zukunft sprechen.,Let's have a serious talk about your future.,Давай серьёзно поговорим о твоём будущем.,B1,tatoeba:527112,sent_t527112.mp3,
t2727000,"Ist es teurer, sich gesund zu ernähren?",Is eating healthy more costly?,Правильно питаться стоит дороже?,B1,tatoeba:2727000,sent_t2727000.mp3,
t7991939,Bei schlechter Ernährung kann man krank werden.,A poor diet can make you ill.,От плохого питания можно заболеть.,B1,tatoeba:7991939,sent_t7991939.mp3,
t5171117,Geld ist kein Ersatz für die Gesundheit.,You cannot substitute money for health.,Здоровье деньгами не заменишь.,B1,tatoeba:5171117,sent_t5171117.mp3,
t6307094,Es tut mir leid. Ich wollte dich nicht erschrecken.,I'm sorry. I didn't mean to scare you.,Прости. Я не хотел тебя напугать.,B1,tatoeba:6307094,sent_t6307094.mp3,
t2447223,Ich bin erschöpft und ein wenig genervt.,"I'm tired, and a bit annoyed.",Я устал и немного раздражён.,B1,tatoeba:2447223,sent_t2447223.mp3,
t1726225,Sie ersetzten Kohle durch Öl.,They replaced coal with oil.,Они заменили уголь нефтью.,B1,tatoeba:1726225,sent_t1726225.mp3,
t11485907,"Tom wurde gebeten, eine Power-Point-Präsentation zu erstellen.",Tom was asked to prepare a PowerPoint presentation.,Тома попросили приготовить презентацию в PowerPoint.,B1,tatoeba:11485907,sent_t11485907.mp3,
t3026656,Meine Söhne sind erwachsen.,My sons have grown up.,Мои сыновья взрослые.,B1,tatoeba:3026656,sent_t3026656.mp3,
t1360209,Ich erwarte einen Brief von ihr.,I'm expecting a letter from her.,Я жду от неё письмо.,B1,tatoeba:1360209,sent_t1360209.mp3,CC BY 4.0
t11578010,"Die Eltern haben die Pflicht, ihre Kinder zu erziehen.",Parents have an obligation to educate their children.,Родители несут обязанность воспитывать своих детей.,B1,tatoeba:11578010,sent_t11578010.mp3,
t403252,Eltern tragen die Verantwortung für die Erziehung ihrer Kinder.,Parents are responsible for their children's education.,Родители несут ответственность за воспитание детей.,B1,tatoeba:403252,sent_t403252.mp3,
t742648,Wer ist der Autor dieser Erzählung?,Who is the author of this story?,Кто автор этого рассказа?,B1,tatoeba:742648,sent_t742648.mp3,
t10678491,Ich habe die Eröffnung der Olympischen Spiele verpasst.,I missed the opening ceremony of the Olympics.,Я пропустил открытие Олимпийских игр.,B1,tatoeba:10678491,sent_t10678491.mp3,
t924853,Wir müssen Essig kaufen.,We need to buy vinegar.,Нам надо купить уксус.,B1,tatoeba:924853,sent_t924853.mp3,
t656914,Nehmen Sie den Aufzug zur fünften Etage.,Take the elevator to the fifth floor.,Поднимитесь на лифте на пятый этаж.,B1,tatoeba:656914,sent_t656914.mp3,CC BY-NC 4.0
t2235161,Er kam etwa um zwei.,He came about two.,Он пришел около двух.,B1,tatoeba:2235161,sent_t2235161.mp3,CC BY 4.0
t7068278,"Wissen Sie eventuell, wieso Tom nicht hier ist?",Do you have any idea why Tom isn't here?,"Может быть, Вы знаете, почему Тома нет?",B1,tatoeba:7068278,sent_t7068278.mp3,
t1973708,Du kannst mir nicht ewig böse sein.,You can't stay mad at me forever.,Ты не можешь на меня всю жизнь злиться.,B1,tatoeba:1973708,sent_t1973708.mp3,
t10159942,Wir brauchen einen Experten.,We need an expert.,Нам нужен эксперт.,B1,tatoeba:10159942,sent_t10159942.mp3,
t7294016,"Ich weiß, dass Tom das extra gemacht hat.",I know Tom did it on purpose.,"Я знаю, что Том специально это сделал.",B1,tatoeba:7294016,sent_t7294016.mp3,
t5722193,Meine alte Arbeit war extrem langweilig.,My old job was extremely boring.,Моя старая работа была чрезвычайно скучная.,B1,tatoeba:5722193,sent_t5722193.mp3,
t756077,Die Fabrik stellt jeden Monat Tausende Flaschen her.,The factory produces thousands of bottles every month.,Фабрика производит тысячи бутылок в месяц.,B1,tatoeba:756077,sent_t756077.mp3,CC BY-NC 4.0
t5586774,Sie sind die Fachfrau.,You're the expert.,Вы специалистка.,B1,tatoeba:5586774,sent_t5586774.mp3,
t2384636,Viele neue Firmen können keine guten Fachleute finden.,A lot of new companies can't find good specialists.,Многие новые компании не могут найти хороших специалистов.,B1,tatoeba:2384636,sent_t2384636.mp3,
t2460876,Ich bin kein Fachmann.,I'm not an expert.,Я не специалист.,B1,tatoeba:2460876,sent_t2460876.mp3,
t10852286,Wegen Bauarbeiten ist die Fahrbahn in beide Richtungen gesperrt.,The road is blocked in both directions because of roadworks.,Из-за ремонтных работ дорога перекрыта в обоих направлениях.,B1,tatoeba:10852286,sent_t10852286.mp3,
t5121007,Lassen Sie keine Wertsachen in Ihrem Fahrzeug.,Don't leave valuables in your vehicle.,Не оставляйте ценных вещей в своём транспортном средстве.,B1,tatoeba:5121007,sent_t5121007.mp3,
t445948,Das ist nicht fair.,This isn't fair.,Это нечестно.,B1,tatoeba:445948,sent_t445948.mp3,CC BY-NC 4.0
t3443199,Man muss viele Faktoren berücksichtigen.,Many factors need to be considered.,Нужно учесть много факторов.,B1,tatoeba:3443199,sent_t3443199.mp3,
t345558,"Ich bleibe zu Hause, falls es morgen regnet.",I'll stay home if it rains tomorrow.,"Я останусь дома, если завтра будет дождь.",B1,tatoeba:345558,sent_t345558.mp3,
g-fangen-v,Der Torwart fängt den Ball sicher.,The goalkeeper catches the ball safely.,Вратарь уверенно ловит мяч.,B1,llm,sent_g-fangen-v.mp3,
t5166293,Er hat eine sehr lebendige Fantasie.,He has a very vivid imagination.,У него очень живое воображение.,B1,tatoeba:5166293,sent_t5166293.mp3,
t9524228,"Ich brauche kein weißes, sondern farbiges Papier.",I don't need white but coloured paper.,"Мне нужна не белая, а цветная бумага.",B1,tatoeba:9524228,sent_t9524228.mp3,
g-faschierte-n,Heute kaufe ich Faschiertes für das Abendessen.,Today I am buying minced meat for dinner.,Сегодня я покупаю фарш для ужина.,B1,llm,sent_g-faschierte-n.mp3,
g-fasching-n,Im Fasching tragen viele Menschen bunte Kostüme.,"During Carnival, many people wear colorful costumes.",На карнавал многие люди надевают яркие костюмы.,B1,llm,sent_g-fasching-n.mp3,
g-fasnacht-n,Zur Fasnacht schmücken die Menschen ihre Häuser bunt.,"During Carnival, people decorate their houses colorfully.",Во время карнавала люди ярко украшают свои дома.,B1,llm,sent_g-fasnacht-n.mp3,
t783394,Kleine Kinder fassen gerne alles an.,Little children like to touch everything.,Маленькие дети любят всё трогать.,B1,tatoeba:783394,sent_t783394.mp3,CC BY-NC 4.0
g-faulenzen-v,Am Wochenende faulenze ich gern im Garten.,"At weekends, I like lazing in the garden.",По выходным я люблю бездельничать в саду.,B1,llm,sent_g-faulenzen-v.mp3,
t4816288,"Das ist das bequemste Fauteuil, in dem ich je gesessen bin.",This is the most comfortable chair I've ever sat in.,"Это самое удобное кресло, в котором я когда-либо сидел.",B1,tatoeba:4816288,sent_t4816288.mp3,
g-feber-n,Im Feber beginnt bei uns das neue Semester.,Our new semester begins in February.,У нас новый семестр начинается в феврале.,B1,llm,sent_g-feber-n.mp3,
t10967495,Eine Herde Kühe stand auf dem Feld.,There was a herd of cows in the field.,В поле паслось стадо коров.,B1,tatoeba:10967495,sent_t10967495.mp3,
t576110,Wo ist die Fernbedienung für den Fernseher?,Where's the remote control for the TV?,Где пульт от телевизора?,B1,tatoeba:576110,sent_t576110.mp3,
t2469788,Ich hab’s im Fernsehen gesehen.,I saw it on TV.,Я видел это по телевизору.,B1,tatoeba:2469788,sent_t2469788.mp3,CC BY-NC 4.0
t413896,Der Fernseher war die ganze Zeit an.,The television was on all the time.,Телевизор был всё время включён.,B1,tatoeba:413896,sent_t413896.mp3,
t2327304,Sie steckten vier Stunden lang im Fahrstuhl fest.,They were stuck in the elevator for four hours.,Они застряли в лифте на четыре часа.,B1,tatoeba:2327304,sent_t2327304.mp3,
t8730089,"Ich möchte, dass alles, was Sie gerade gesagt haben, schriftlich im Vertrag festgehalten wird.",I want everything you just said written into the contract.,"Я хочу, чтобы всё, что вы только что сказали, было записано в договоре.",B1,tatoeba:8730089,sent_t8730089.mp3,CC BY-NC 4.0
t570245,Wir haben den Termin für das Klassentreffen festgelegt.,We fixed the date for our class reunion.,Мы назначили дату встречи выпускников.,B1,tatoeba:570245,sent_t570245.mp3,
t3680434,"Er wurde festgenommen, weil er Geld gestohlen hatte.",He was arrested because he stole money.,"Его арестовали, потому что он украл деньги.",B1,tatoeba:3680434,sent_t3680434.mp3,
t2325959,Ich habe aus Versehen meine Festplatte gelöscht.,I erased my hard disk by accident.,Я случайно удалил свой жёсткий диск.,B1,tatoeba:2325959,sent_t2325959.mp3,
t2232217,Habt Ihr einen Termin für eure Hochzeit festgesetzt?,Have you set a date for your wedding?,Вы назначили дату своей свадьбы?,B1,tatoeba:2232217,sent_t2232217.mp3,
g-feststehen-v,Der Termin steht seit gestern fest.,The date has been fixed since yesterday.,Дата назначена со вчерашнего дня.,B1,llm,sent_g-feststehen-v.mp3,
g-feststellen-v,Der Arzt stellte eine Verletzung fest.,The doctor detected an injury.,Врач обнаружил травму.,B1,llm,sent_g-feststellen-v.mp3,
g-fett-n,Zu viel Fett ist ungesund.,Too much fat is unhealthy.,Слишком много жира вредно для здоровья.,B1,llm,sent_g-fett-n.mp3,
t353795,"Das Wetter war nicht nur kalt, sondern auch feucht.","The weather was not only cold, it was also damp.","Было не только холодно, но и влажно.",B1,tatoeba:353795,sent_t353795.mp3,CC BY-NC 4.0
t8336097,Mein Nachbar hat die Feuerwehr gerufen.,My neighbor called the fire department.,Сосед вызвал пожарных.,B1,tatoeba:8336097,sent_t8336097.mp3,
t1287835,Hast du ein Feuerzeug?,Do you have a lighter?,У тебя есть зажигалка?,B1,tatoeba:1287835,sent_t1287835.mp3,
t383258,Sie hat eine gute Figur.,She has a good figure.,У неё хорошая фигура.,B1,tatoeba:383258,sent_t383258.mp3,CC BY-NC 4.0
t731251,Die finanzielle Lage wird von Woche zu Woche schlechter.,The financial situation is getting worse week by week.,Финансовая ситуация становится хуже неделя за неделей.,B1,tatoeba:731251,sent_t731251.mp3,
t1525898,"Mary gibt Nachhilfe in Englisch, um sich ihr Studium finanzieren zu können.","Mary gives private tuition in English, so that she can finance her studies.","Мэри даёт частные уроки английского, чтобы оплачивать учёбу.",B1,tatoeba:1525898,sent_t1525898.mp3,
t2261612,Er kann mit seinen Fingern bis zehn zählen.,He can count up to ten with his fingers.,Он может сосчитать на пальцах до десяти.,B1,tatoeba:2261612,sent_t2261612.mp3,
t405775,Der Gipfel des Hügels ist flach.,The top of the hill is flat.,Вершина холма плоская.,B1,tatoeba:405775,sent_t405775.mp3,
t6100844,Du hast einen Fleck auf deinem T-Shirt.,You've got a stain on your T-shirt.,У тебя пятно на футболке.,B1,tatoeba:6100844,sent_t6100844.mp3,
t8888001,Ich war einmal Fleischhauer.,I used to be a butcher.,Я когда-то был мясником.,B1,tatoeba:8888001,sent_t8888001.mp3,
t7816974,"Ich bin flexibel, was die Arbeitszeit angeht.",I'm flexible about work hours.,Я могу работать в разное время.,B1,tatoeba:7816974,sent_t7816974.mp3,
t4890337,Tausende Menschen fliehen vor dem Krieg.,Thousands of people are fleeing from war.,Тысячи людей бегут от войны.,B1,tatoeba:4890337,sent_t4890337.mp3,
t398837,Er spricht fließend Französisch.,He speaks French fluently.,Он бегло говорит по-французски.,B1,tatoeba:398837,sent_t398837.mp3,CC BY-NC 4.0
t2973637,Tom gelang die Flucht.,Tom managed to escape.,Тому удалось сбежать.,B1,tatoeba:2973637,sent_t2973637.mp3,
t8236080,Ihr Zimmer ist am Ende des Flurs.,Your room is at the end of the corridor.,Ваша комната в конце коридора.,B1,tatoeba:8236080,sent_t8236080.mp3,
t2950733,Wie groß ist die Fläche dieser Stadt?,What is the area of this city?,Какова площадь этого города?,B1,tatoeba:2950733,sent_t2950733.mp3,
t814924,"Ich würde gerne Klavier, Gitarre oder Flöte spielen lernen.","I would like to learn to play the piano, guitar or flute.","Я хотел бы научиться играть на пианино, гитаре или флейте.",B1,tatoeba:814924,sent_t814924.mp3,
