word_id,lemma,display,pos,gender,plural,verb_forms,level,topic,en,ru,freq_rank,source,audio,status
ueberall-a,überall,überall,adv,,,,A2,wohnen,"everywhere, all over","везде, повсюду",,dwds,word_ueberall-a.mp3,enriched
uebermorgen-a,übermorgen,übermorgen,adv,,,,A2,grundwortschatz,the day after tomorrow,послезавтра,,dwds,word_uebermorgen-a.mp3,enriched
uebersetzen-v,übersetzen,übersetzen,verb,,,,A2,lernen-schule,translate,переводить,,dwds,word_uebersetzen-v.mp3,enriched
uebersetzung-n,Übersetzung,die Übersetzung,noun,fem.,Übersetzungen,,A2,lernen-schule,translation,перевод,,dwds,word_uebersetzung-n.mp3,enriched
weis-o,-weis,-weis,other,,,,B1,grundwortschatz,suffix: -wise,суффикс: -образно,,dwds,word_weis-o.mp3,enriched
weise-o,-weise,-weise,other,,,,B1,grundwortschatz,suffix: -wise,суффикс: -образно,,dwds,word_weise-o.mp3,enriched
abbiegen-v,abbiegen,abbiegen,verb,,,"biegt ab, bog ab, ist abgebogen",B1,reisen-verkehr,"turn, turn off",поворачивать,,dwds,word_abbiegen-v.mp3,qa_flagged
abbildung-n,Abbildung,die Abbildung,noun,fem.,Abbildungen,,B1,bildung,"illustration, figure","иллюстрация, рисунок",,dwds,word_abbildung-n.mp3,enriched
abenteuer-n,Abenteuer,das Abenteuer,noun,neutr.,Abenteuer,,B1,freizeit-hobby,adventure,приключение,,dwds,word_abenteuer-n.mp3,enriched
abfall-n,Abfall,der Abfall,noun,mask.,Abfälle,,B1,umwelt,"waste, rubbish","отходы, мусор",,dwds,word_abfall-n.mp3,qa_flagged
abfalleimer-n,Abfalleimer,der Abfalleimer,noun,mask.,Abfalleimer,,B1,wohnen,"rubbish bin, trash can","мусорное ведро, урна",,dwds,word_abfalleimer-n.mp3,enriched
abgas-n,Abgas,das Abgas,noun,neutr.,Abgase,,B1,umwelt,"exhaust gas, emissions","выхлопной газ, выбросы",,dwds,word_abgas-n.mp3,enriched
abhangen-v,abhangen,abhangen,verb,,,"hängt ab, hing ab, hat abgehangen",B1,freizeit-hobby,"hang out, relax","отдыхать, бездельничать",,dwds,word_abhangen-v.mp3,enriched
abheben-v,abheben,abheben,verb,,,"hebt ab, hob ab, hat abgehoben",B1,reisen-verkehr,"take off, withdraw","взлетать, снимать деньги",,dwds,word_abheben-v.mp3,enriched
abhaengen-v,abhängen,abhängen,verb,,,"hängt ab, hing ab, hat abgehangen",B1,grundwortschatz,"depend on, hang out","зависеть от, тусоваться",,dwds,word_abhaengen-v.mp3,enriched
abhaengig-a,abhängig,abhängig,adj,,,,B1,grundwortschatz,"dependent, reliant","зависимый, зависящий",,dwds,word_abhaengig-a.mp3,enriched
abitur-n,Abitur,das Abitur,noun,neutr.,Abiture,,B1,bildung,"school-leaving certificate, A-levels","аттестат зрелости, выпускные экзамены",,dwds,word_abitur-n.mp3,enriched
ablehnen-v,ablehnen,ablehnen,verb,,,,B1,gesellschaft,"reject, refuse","отклонять, отказываться",,dwds,word_ablehnen-v.mp3,enriched
abmachen-v,abmachen,abmachen,verb,,,,B1,grundwortschatz,"arrange, agree on","договариваться, согласовывать",,dwds,word_abmachen-v.mp3,qa_flagged
abnehmen-v,abnehmen,abnehmen,verb,,,"nimmt ab, nahm ab, hat abgenommen",B1,gesundheit,"lose weight, decrease","худеть, уменьшаться",,dwds,word_abnehmen-v.mp3,qa_flagged
abonnement-n,Abonnement,das Abonnement,noun,neutr.,Abonnements,,B1,medien-internet,"subscription, season ticket","подписка, абонемент",,dwds,word_abonnement-n.mp3,enriched
abonnieren-v,abonnieren,abonnieren,verb,,,,B1,medien-internet,subscribe to,подписываться на,,dwds,word_abonnieren-v.mp3,enriched
absagen-v,absagen,absagen,verb,,,,B1,freizeit-hobby,"cancel, call off","отменять, отказываться",,dwds,word_absagen-v.mp3,enriched
abschied-n,Abschied,der Abschied,noun,mask.,Abschiede,,B1,beziehungen,"goodbye, farewell","прощание, расставание",,dwds,word_abschied-n.mp3,enriched
abschluss-n,Abschluss,der Abschluss,noun,mask.,Abschlüsse,,B1,bildung,"degree, qualification","диплом, квалификация",,dwds,word_abschluss-n.mp3,qa_flagged
abschnitt-n,Abschnitt,der Abschnitt,noun,mask.,Abschnitte,,B1,bildung,"section, passage","раздел, отрывок",,dwds,word_abschnitt-n.mp3,enriched
abschreiben-v,abschreiben,abschreiben,verb,,,"schreibt ab, schrieb ab, hat abgeschrieben",B1,bildung,"copy, cheat by copying","списывать, переписывать",,dwds,word_abschreiben-v.mp3,enriched
absenderin-n,Absenderin,die Absenderin,noun,fem.,Absenderinnen,,B1,grundwortschatz,female sender,отправительница,,dwds,word_absenderin-n.mp3,enriched
absolut-a,absolut,absolut,adj,,,,B1,grundwortschatz,"absolute, absolutely","абсолютный, абсолютно",,dwds,word_absolut-a.mp3,enriched
abstimmen-v,abstimmen,abstimmen,verb,,,,B1,gesellschaft,"to vote, coordinate","голосовать, согласовывать",,dwds,word_abstimmen-v.mp3,enriched
abt-n,Abt,der Abt,noun,mask.,Äbte,,B1,kultur,abbot,"аббат, настоятель",,dwds,word_abt-n.mp3,enriched
abteilung-n,Abteilung,die Abteilung,noun,fem.,Abteilungen,,B1,arbeit-beruf,"department, section","отдел, секция",,dwds,word_abteilung-n.mp3,enriched
abwart-n,Abwart,der Abwart,noun,mask.,Abwarte,,B1,wohnen,"caretaker, janitor","завхоз, смотритель",,dwds,word_abwart-n.mp3,enriched
abwartin-n,Abwartin,die Abwartin,noun,fem.,Abwartinnen,,B1,wohnen,"female caretaker, janitor","завхоз, смотрительница",,dwds,word_abwartin-n.mp3,enriched
abwaschen-v,abwaschen,abwaschen,verb,,,"wäscht ab, wusch ab, hat abgewaschen",B1,wohnen,to wash dishes,мыть посуду,,dwds,word_abwaschen-v.mp3,enriched
abwesend-a,abwesend,abwesend,adj,,,,B1,bildung,"absent, away","отсутствующий, отсутствующий на месте",,dwds,word_abwesend-a.mp3,enriched
abwaerts-a,abwärts,abwärts,adv,,,,B1,reisen-verkehr,"downward, downhill","вниз, под уклон",,dwds,word_abwaerts-a.mp3,enriched
achten-v,achten,achten,verb,,,,B1,grundwortschatz,"to pay attention, respect","обращать внимание, уважать",,dwds,word_achten-v.mp3,enriched
aktion-n,Aktion,die Aktion,noun,fem.,Aktionen,,B1,gesellschaft,"action, campaign","акция, мероприятие",,dwds,word_aktion-n.mp3,enriched
aktivitaet-n,Aktivität,die Aktivität,noun,fem.,Aktivitäten,,B1,freizeit-hobby,"activity, activities","деятельность, занятие",,dwds,word_aktivitaet-n.mp3,qa_flagged
akzeptieren-v,akzeptieren,akzeptieren,verb,,,,B1,grundwortschatz,"to accept, approve","принимать, соглашаться",,dwds,word_akzeptieren-v.mp3,enriched
alarm-n,Alarm,der Alarm,noun,mask.,Alarme,,B1,technik,"alarm, alert","сигнал тревоги, тревога",,dwds,word_alarm-n.mp3,enriched
alkohol-n,Alkohol,der Alkohol,noun,mask.,(Sg.),,B1,gesundheit,"alcohol, liquor","алкоголь, спиртное",,dwds,word_alkohol-n.mp3,enriched
aller-o,aller-,aller-,other,,,,B1,grundwortschatz,"very-, utmost-","самый-, величайший-",,dwds,word_aller-o.mp3,enriched
allerbest-a,allerbest,allerbest,adj,,,,B1,grundwortschatz,"very best, excellent","самый лучший, превосходный",,dwds,word_allerbest-a.mp3,enriched
allerdings-a,allerdings,allerdings,adv,,,,B1,grundwortschatz,"however, indeed","однако, действительно",,dwds,word_allerdings-a.mp3,enriched
allerschoenst-a,allerschönst,allerschönst,adj,,,,B1,grundwortschatz,"most beautiful, loveliest","самый красивый, прекраснейший",,dwds,word_allerschoenst-a.mp3,enriched
allgemein-a,allgemein,allgemein,adj,,,,B1,gesellschaft,"general, common","общий, всеобщий",,dwds,word_allgemein-a.mp3,enriched
alltag-n,Alltag,der Alltag,noun,mask.,-,,B1,grundwortschatz,everyday life,"повседневная жизнь, будни",,dwds,word_alltag-n.mp3,enriched
alltaeglich-a,alltäglich,alltäglich,adj,,,,B1,grundwortschatz,"everyday, ordinary","повседневный, обычный",,dwds,word_alltaeglich-a.mp3,enriched
alphabet-n,Alphabet,das Alphabet,noun,neutr.,Alphabete,,B1,bildung,alphabet,алфавит,,dwds,word_alphabet-n.mp3,enriched
altenheim-n,Altenheim,das Altenheim,noun,neutr.,Altenheime,,B1,gesundheit,nursing home,дом престарелых,,dwds,word_altenheim-n.mp3,enriched
alternativ-a,alternativ,alternativ,adj,,,,B1,umwelt,"alternative, alternative-based",альтернативный,,dwds,word_alternativ-a.mp3,enriched
alternative-n,Alternative,die Alternative,noun,fem.,Alternativen,,B1,grundwortschatz,"alternative, option","альтернатива, вариант",,dwds,word_alternative-n.mp3,enriched
altersheim-n,Altersheim,das Altersheim,noun,neutr.,Altersheime,,B1,gesundheit,old people's home,дом престарелых,,dwds,word_altersheim-n.mp3,enriched
amt-n,Amt,das Amt,noun,neutr.,Ämter,,B1,gesellschaft,"office, position","ведомство, должность",,dwds,word_amt-n.mp3,enriched
amuesieren-v,amüsieren,amüsieren,verb,,,,B1,freizeit-hobby,"entertain, have fun","развлекать, веселиться",,dwds,word_amuesieren-v.mp3,enriched
analysieren-v,analysieren,analysieren,verb,,,,B1,bildung,"analyze, examine","анализировать, исследовать",,dwds,word_analysieren-v.mp3,enriched
anbieter-n,Anbieter,der Anbieter,noun,mask.,Anbieter,,B1,einkaufen-konsum,"provider, supplier","поставщик, провайдер",,dwds,word_anbieter-n.mp3,enriched
andererseits-a,andererseits,andererseits,adv,,,,B1,grundwortschatz,on the other hand,с другой стороны,,dwds,word_andererseits-a.mp3,enriched
anderseits-a,anderseits,anderseits,adv,,,,B1,grundwortschatz,on the other hand,с другой стороны,,dwds,word_anderseits-a.mp3,enriched
andrerseits-a,andrerseits,andrerseits,adv,,,,B1,grundwortschatz,on the other hand,с другой стороны,,dwds,word_andrerseits-a.mp3,enriched
anerkennen-v,anerkennen,anerkennen,verb,,,"erkennt an, erkannte an, hat anerkannt",B1,bildung,"recognize, accept","признавать, принимать",,dwds,word_anerkennen-v.mp3,enriched
anfangs-a,anfangs,anfangs,adv,,,,B1,grundwortschatz,"at first, initially","сначала, поначалу",,dwds,word_anfangs-a.mp3,enriched
angabe-n,Angabe,die Angabe,noun,fem.,Angaben,,B1,grundwortschatz,"information, detail","сведения, данные",,dwds,word_angabe-n.mp3,qa_flagged
angeben-v,angeben,angeben,verb,,,"gibt an, gab an, hat angegeben",B1,grundwortschatz,"state, boast","указывать, хвастаться",,dwds,word_angeben-v.mp3,enriched
angehoerige-n,Angehörige,die Angehörige,noun,fem.,Angehörige,,B1,beziehungen,"relative, family member","родственник, член семьи",,dwds,word_angehoerige-n.mp3,enriched
angenehm-a,angenehm,angenehm,adj,,,,B1,grundwortschatz,"pleasant, agreeable","приятный, комфортный",,dwds,word_angenehm-a.mp3,enriched
angestellte-n,Angestellte,der Angestellte,noun,mask.,Angestellte,,B1,arbeit-beruf,"employee, salaried worker","служащий, сотрудник",,dwds,word_angestellte-n.mp3,enriched
anhaben-v,anhaben,anhaben,verb,,,"hat an, hatte an, hat angehabt",B1,einkaufen-konsum,be wearing,"быть одетым, носить",,dwds,word_anhaben-v.mp3,qa_flagged
ankuendigen-v,ankündigen,ankündigen,verb,,,,B1,gesellschaft,"announce, give notice","объявлять, сообщать заранее",,dwds,word_ankuendigen-v.mp3,qa_flagged
anlage-n,Anlage,die Anlage,noun,fem.,Anlagen,,B1,technik,"system, attachment","установка, приложение",,dwds,word_anlage-n.mp3,enriched
anleitung-n,Anleitung,die Anleitung,noun,fem.,Anleitungen,,B1,technik,"instructions, guide","инструкция, руководство",,dwds,word_anleitung-n.mp3,qa_flagged
annehmen-v,annehmen,annehmen,verb,,,"nimmt an, nahm an, hat angenommen",B1,grundwortschatz,"accept, assume","принимать, предполагать",,dwds,word_annehmen-v.mp3,enriched
annonce-n,Annonce,die Annonce,noun,fem.,Annoncen,,B1,einkaufen-konsum,"classified ad, advertisement","объявление, реклама",,dwds,word_annonce-n.mp3,enriched
anschaffen-v,anschaffen,anschaffen,verb,,,,B1,einkaufen-konsum,"buy, acquire","покупать, приобретать",,dwds,word_anschaffen-v.mp3,qa_flagged
anschliessen-v,anschließen,anschließen,verb,,,"schließt an, schloss an, hat angeschlossen",B1,technik,"connect, join","подключать, присоединяться",,dwds,word_anschliessen-v.mp3,enriched
anschnallen-v,anschnallen,anschnallen,verb,,,,B1,reisen-verkehr,fasten seatbelt,пристёгиваться,,dwds,word_anschnallen-v.mp3,enriched
ansprechen-v,ansprechen,ansprechen,verb,,,"spricht an, sprach an, hat angesprochen",B1,beziehungen,"address, speak to","обращаться, заговаривать",,dwds,word_ansprechen-v.mp3,enriched
anspruch-n,Anspruch,der Anspruch,noun,mask.,Ansprüche,,B1,gesellschaft,"claim, demand","право, требование",,dwds,word_anspruch-n.mp3,enriched
anstellen-v,anstellen,anstellen,verb,,,,B1,arbeit-beruf,"employ, hire","нанимать, принимать на работу",,dwds,word_anstellen-v.mp3,enriched
anstrengen-v,anstrengen,anstrengen,verb,,,,B1,arbeit-beruf,"make an effort, strain","стараться, напрягать",,dwds,word_anstrengen-v.mp3,enriched
anstrengend-o,anstrengend,anstrengend,adj,,,,B1,arbeit-beruf,"tiring, strenuous","утомительный, тяжёлый",,dwds,word_anstrengend-o.mp3,enriched
antrag-n,Antrag,der Antrag,noun,mask.,Anträge,,B1,gesellschaft,"application, motion","заявление, предложение",,dwds,word_antrag-n.mp3,enriched
anwalt-n,Anwalt,der Anwalt,noun,mask.,Anwälte,,B1,gesellschaft,"lawyer, attorney","адвокат, юрист",,dwds,word_anwalt-n.mp3,enriched
anwenden-v,anwenden,anwenden,verb,,,"wendet an, wandte an, hat angewandt",B1,bildung,"apply, use","применять, использовать",,dwds,word_anwenden-v.mp3,enriched
anwesend-a,anwesend,anwesend,adj,,,,B1,bildung,"present, attending","присутствующий, присутствующий на месте",,dwds,word_anwesend-a.mp3,enriched
anwaeltin-n,Anwältin,die Anwältin,noun,fem.,Anwältinnen,,B1,gesellschaft,"female lawyer, attorney","адвокат, юристка",,dwds,word_anwaeltin-n.mp3,qa_flagged
anzahl-n,Anzahl,die Anzahl,noun,fem.,Anzahlen,,B1,gesellschaft,"number, quantity","количество, число",,dwds,word_anzahl-n.mp3,enriched
anzeigen-v,anzeigen,anzeigen,verb,,,"zeigt an, zeigte an, hat angezeigt",B1,technik,"display, report","отображать, заявлять",,dwds,word_anzeigen-v.mp3,qa_flagged
aprikose-n,Aprikose,die Aprikose,noun,fem.,Aprikosen,,B1,einkaufen-konsum,apricot,абрикос,,dwds,word_aprikose-n.mp3,enriched
arbeiter-n,Arbeiter,der Arbeiter,noun,mask.,Arbeiter,,B1,arbeit-beruf,"worker, laborer","работник, рабочий",,dwds,word_arbeiter-n.mp3,enriched
arbeiterin-n,Arbeiterin,die Arbeiterin,noun,fem.,Arbeiterinnen,,B1,arbeit-beruf,female worker,работница,,dwds,word_arbeiterin-n.mp3,qa_flagged
arbeitserlaubnis-n,Arbeitserlaubnis,die Arbeitserlaubnis,noun,fem.,Arbeitserlaubnisse,,B1,arbeit-beruf,work permit,разрешение на работу,,dwds,word_arbeitserlaubnis-n.mp3,enriched
arbeitslosigkeit-n,Arbeitslosigkeit,die Arbeitslosigkeit,noun,fem.,Arbeitslosigkeiten,,B1,arbeit-beruf,unemployment,безработица,,dwds,word_arbeitslosigkeit-n.mp3,enriched
arbeitsstelle-n,Arbeitsstelle,die Arbeitsstelle,noun,fem.,Arbeitsstellen,,B1,arbeit-beruf,"job, position","рабочее место, работа",,dwds,word_arbeitsstelle-n.mp3,enriched
architekt-n,Architekt,der Architekt,noun,mask.,Architekten,,B1,arbeit-beruf,architect,архитектор,,dwds,word_architekt-n.mp3,enriched
architektin-n,Architektin,die Architektin,noun,fem.,Architektinnen,,B1,arbeit-beruf,female architect,"женщина-архитектор, архитектор",,dwds,word_architektin-n.mp3,enriched
art-n,Art,die Art,noun,fem.,Arten,,B1,grundwortschatz,"kind, way","вид, манера",,dwds,word_art-n.mp3,enriched
asyl-n,Asyl,das Asyl,noun,neutr.,Asyle,,B1,gesellschaft,"asylum, refuge","убежище, политическое убежище",,dwds,word_asyl-n.mp3,enriched
atem-n,Atem,der Atem,noun,mask.,(Sg.),,B1,gesundheit,breath,дыхание,,dwds,word_atem-n.mp3,enriched
atmen-v,atmen,atmen,verb,,,,B1,gesundheit,breathe,дышать,,dwds,word_atmen-v.mp3,enriched
aufenthalt-n,Aufenthalt,der Aufenthalt,noun,mask.,Aufenthalte,,B1,reisen-verkehr,"stay, residence","пребывание, проживание",,dwds,word_aufenthalt-n.mp3,enriched
auffallen-v,auffallen,auffallen,verb,,,"fällt auf, fiel auf, ist aufgefallen",B1,grundwortschatz,"notice, stand out","замечать, бросаться в глаза",,dwds,word_auffallen-v.mp3,enriched
auffordern-v,auffordern,auffordern,verb,,,,B1,grundwortschatz,"ask, request","просить, требовать",,dwds,word_auffordern-v.mp3,enriched
aufforderung-n,Aufforderung,die Aufforderung,noun,fem.,Aufforderungen,,B1,grundwortschatz,"request, invitation","просьба, приглашение",,dwds,word_aufforderung-n.mp3,enriched
auffuehren-v,aufführen,aufführen,verb,,,,B1,kultur,"perform, behave","исполнять, вести себя",,dwds,word_auffuehren-v.mp3,enriched
aufgeben-v,aufgeben,aufgeben,verb,,,"gibt auf, gab auf, hat aufgegeben",B1,grundwortschatz,"give up, mail","сдаваться, отправлять по почте",,dwds,word_aufgeben-v.mp3,enriched
aufhalten-v,aufhalten,aufhalten,verb,,,"hält auf, hielt auf, hat aufgehalten",B1,reisen-verkehr,"stop, hold up","останавливать, задерживать",,dwds,word_aufhalten-v.mp3,enriched
aufheben-v,aufheben,aufheben,verb,,,"hebt auf, hob auf, hat aufgehoben",B1,grundwortschatz,"pick up, save","поднимать, сохранять",,dwds,word_aufheben-v.mp3,enriched
aufladen-v,aufladen,aufladen,verb,,,"lädt auf, lud auf, hat aufgeladen",B1,technik,"charge, load","заряжать, загружать",,dwds,word_aufladen-v.mp3,enriched
aufloesen-v,auflösen,auflösen,verb,,,,B1,grundwortschatz,"dissolve, disappear","растворять, исчезать",,dwds,word_aufloesen-v.mp3,enriched
aufmerksam-a,aufmerksam,aufmerksam,adj,,,,B1,bildung,"attentive, careful","внимательный, внимательный к деталям",,dwds,word_aufmerksam-a.mp3,enriched
aufnahme-n,Aufnahme,die Aufnahme,noun,fem.,Aufnahmen,,B1,medien-internet,"recording, admission","запись, приём",,dwds,word_aufnahme-n.mp3,enriched
aufnehmen-v,aufnehmen,aufnehmen,verb,,,"nimmt auf, nahm auf, hat aufgenommen",B1,einkaufen-konsum,"take, record","принимать, записывать",,dwds,word_aufnehmen-v.mp3,enriched
aufschreiben-v,aufschreiben,aufschreiben,verb,,,"schreibt auf, schrieb auf, hat aufgeschrieben",B1,bildung,"write down, note","записывать, отмечать",,dwds,word_aufschreiben-v.mp3,enriched
auftrag-n,Auftrag,der Auftrag,noun,mask.,Aufträge,,B1,arbeit-beruf,"assignment, order","поручение, заказ",,dwds,word_auftrag-n.mp3,enriched
auftreten-v,auftreten,auftreten,verb,,,"tritt auf, trat auf, ist aufgetreten",B1,kultur,"occur, perform","происходить, выступать",,dwds,word_auftreten-v.mp3,enriched
auftritt-n,Auftritt,der Auftritt,noun,mask.,Auftritte,,B1,kultur,"performance, appearance","выступление, появление",,dwds,word_auftritt-n.mp3,enriched
aufwachen-v,aufwachen,aufwachen,verb,,,"wacht auf, wachte auf, ist aufgewacht",B1,gesundheit,wake up,просыпаться,,dwds,word_aufwachen-v.mp3,enriched
aufwaerts-a,aufwärts,aufwärts,adv,,,,B1,reisen-verkehr,"upwards, upward","вверх, по направлению вверх",,dwds,word_aufwaerts-a.mp3,enriched
augenblick-n,Augenblick,der Augenblick,noun,mask.,Augenblicke,,B1,grundwortschatz,"moment, instant","момент, мгновение",,dwds,word_augenblick-n.mp3,enriched
ausbilden-v,ausbilden,ausbilden,verb,,,,B1,bildung,"train, educate","обучать, готовить специалистов",,dwds,word_ausbilden-v.mp3,enriched
ausdruck-n,Ausdruck,der Ausdruck,noun,mask.,Ausdrücke,,B1,bildung,"expression, wording","выражение, формулировка",,dwds,word_ausdruck-n.mp3,enriched
ausdrucken-v,ausdrucken,ausdrucken,verb,,,,B1,technik,print out,распечатывать,,dwds,word_ausdrucken-v.mp3,enriched
auseinander-a,auseinander,auseinander,adv,,,,B1,beziehungen,"apart, separately","врозь, отдельно",,dwds,word_auseinander-a.mp3,enriched
ausfahrt-n,Ausfahrt,die Ausfahrt,noun,fem.,Ausfahrten,,B1,reisen-verkehr,"exit, drive","съезд, поездка на машине",,dwds,word_ausfahrt-n.mp3,qa_flagged
ausfallen-v,ausfallen,ausfallen,verb,,,"fällt aus, fiel aus, ist ausgefallen",B1,reisen-verkehr,"be cancelled, fail","отменяться, выходить из строя",,dwds,word_ausfallen-v.mp3,enriched
ausgabe-n,Ausgabe,die Ausgabe,noun,fem.,Ausgaben,,B1,medien-internet,"issue, edition; expenditure","номер, издание; расход",,dwds,word_ausgabe-n.mp3,enriched
ausgezeichnet-o,ausgezeichnet,ausgezeichnet,adj,,,,B1,grundwortschatz,"excellent, outstanding","отличный, превосходный",,dwds,word_ausgezeichnet-o.mp3,enriched
aushilfe-n,Aushilfe,die Aushilfe,noun,fem.,Aushilfen,,B1,arbeit-beruf,"temporary worker, helper","временный работник, помощник",,dwds,word_aushilfe-n.mp3,enriched
ausnahme-n,Ausnahme,die Ausnahme,noun,fem.,Ausnahmen,,B1,grundwortschatz,exception,исключение,,dwds,word_ausnahme-n.mp3,enriched
ausreichen-v,ausreichen,ausreichen,verb,,,,B1,grundwortschatz,"be enough, suffice","хватать, быть достаточным",,dwds,word_ausreichen-v.mp3,enriched
ausrichten-v,ausrichten,ausrichten,verb,,,,B1,beziehungen,"tell, pass on","передавать, сообщать",,dwds,word_ausrichten-v.mp3,enriched
ausschliessen-v,ausschließen,ausschließen,verb,,,"schließt aus, schloss aus, hat ausgeschlossen",B1,grundwortschatz,"exclude, rule out","исключать, не допускать",,dwds,word_ausschliessen-v.mp3,enriched
ausschliesslich-a,ausschließlich,ausschließlich,adv,,,,B1,grundwortschatz,"exclusively, solely","исключительно, только",,dwds,word_ausschliesslich-a.mp3,enriched
aussprache-n,Aussprache,die Aussprache,noun,fem.,Aussprachen,,B1,bildung,"pronunciation, accent","произношение, акцент",,dwds,word_aussprache-n.mp3,enriched
ausstellen-v,ausstellen,ausstellen,verb,,,,B1,kultur,"exhibit, issue","выставлять, выдавать",,dwds,word_ausstellen-v.mp3,enriched
aussuchen-v,aussuchen,aussuchen,verb,,,,B1,einkaufen-konsum,"choose, pick out","выбирать, подбирать",,dwds,word_aussuchen-v.mp3,enriched
auswahl-n,Auswahl,die Auswahl,noun,fem.,Auswahlen,,B1,einkaufen-konsum,"selection, choice","выбор, ассортимент",,dwds,word_auswahl-n.mp3,enriched
auswaehlen-v,auswählen,auswählen,verb,,,,B1,einkaufen-konsum,"select, choose","выбирать, отбирать",,dwds,word_auswaehlen-v.mp3,enriched
autor-n,Autor,der Autor,noun,mask.,Autoren,,B1,kultur,"author, writer","автор, писатель",,dwds,word_autor-n.mp3,enriched
autorin-n,Autorin,die Autorin,noun,fem.,Autorinnen,,B1,kultur,"female author, writer","автор, писательница",,dwds,word_autorin-n.mp3,enriched
aussen-a,außen,außen,adv,,,,B1,wohnen,"outside, externally","снаружи, извне",,dwds,word_aussen-a.mp3,enriched
backofen-n,Backofen,der Backofen,noun,mask.,Backöfen,,B1,wohnen,"oven, baking oven","духовка, печь",,dwds,word_backofen-n.mp3,enriched
backrohr-n,Backrohr,das Backrohr,noun,neutr.,Backrohre,,B1,wohnen,oven,"духовка, печь",,dwds,word_backrohr-n.mp3,enriched
badewanne-n,Badewanne,die Badewanne,noun,fem.,Badewannen,,B1,wohnen,"bathtub, bath",ванна,,dwds,word_badewanne-n.mp3,enriched
ballett-n,Ballett,das Ballett,noun,neutr.,Ballette,,B1,kultur,ballet,балет,,dwds,word_ballett-n.mp3,enriched
bancomat-n,Bancomat,der Bancomat,noun,mask.,Bancomaten,,B1,einkaufen-konsum,"ATM, cash machine",банкомат,,dwds,word_bancomat-n.mp3,enriched
bancomatkarte-n,Bancomatkarte,die Bancomatkarte,noun,fem.,Bancomatkarten,,B1,einkaufen-konsum,ATM card,банковская карта,,dwds,word_bancomatkarte-n.mp3,enriched
bankleitzahl-n,Bankleitzahl,die Bankleitzahl,noun,fem.,Bankleitzahlen,,B1,einkaufen-konsum,bank code,банковский код,,dwds,word_bankleitzahl-n.mp3,enriched
bankomat-n,Bankomat,der Bankomat,noun,mask.,Bankomaten,,B1,einkaufen-konsum,"ATM, cash machine",банкомат,,dwds,word_bankomat-n.mp3,enriched
bankomatkarte-n,Bankomatkarte,die Bankomatkarte,noun,fem.,Bankomatkarten,,B1,einkaufen-konsum,ATM card,банковская карта,,dwds,word_bankomatkarte-n.mp3,enriched
bar-n,Bar,die Bar,noun,fem.,Bars,,B1,freizeit-hobby,"bar, cash","бар, наличные",,dwds,word_bar-n.mp3,enriched
bargeld-n,Bargeld,das Bargeld,noun,neutr.,(Sg.),,B1,einkaufen-konsum,cash,наличные,,dwds,word_bargeld-n.mp3,enriched
bart-n,Bart,der Bart,noun,mask.,Bärte,,B1,beziehungen,beard,борода,,dwds,word_bart-n.mp3,enriched
batterie-n,Batterie,die Batterie,noun,fem.,Batterien,,B1,technik,battery,"батарейка, аккумулятор",,dwds,word_batterie-n.mp3,enriched
bau-n,Bau,der Bau,noun,mask.,Bauten,,B1,wohnen,"construction, building","строительство, сооружение",,dwds,word_bau-n.mp3,enriched
bauer-n,Bauer,der Bauer,noun,mask.,Bauern,,B1,umwelt,farmer,"фермер, крестьянин",,dwds,word_bauer-n.mp3,enriched
bauernhof-n,Bauernhof,der Bauernhof,noun,mask.,Bauernhöfe,,B1,umwelt,farm,ферма,,dwds,word_bauernhof-n.mp3,qa_flagged
beachten-v,beachten,beachten,verb,,,,B1,grundwortschatz,"observe, pay attention","соблюдать, обращать внимание",,dwds,word_beachten-v.mp3,qa_flagged
beamtin-n,Beamtin,die Beamtin,noun,fem.,Beamtinnen,,B1,arbeit-beruf,female civil servant,государственная служащая,,dwds,word_beamtin-n.mp3,enriched
beantragen-v,beantragen,beantragen,verb,,,,B1,gesellschaft,"apply for, request","подавать заявление на, запрашивать",,dwds,word_beantragen-v.mp3,qa_flagged
bedarf-n,Bedarf,der Bedarf,noun,mask.,Bedarfe,,B1,gesellschaft,"need, demand","потребность, необходимость",,dwds,word_bedarf-n.mp3,enriched
bedeutung-n,Bedeutung,die Bedeutung,noun,fem.,Bedeutungen,,B1,bildung,"meaning, significance","значение, смысл",,dwds,word_bedeutung-n.mp3,enriched
bedienen-v,bedienen,bedienen,verb,,,,B1,technik,"operate, serve","управлять, обслуживать",,dwds,word_bedienen-v.mp3,enriched
bedienungsanleitung-n,Bedienungsanleitung,die Bedienungsanleitung,noun,fem.,Bedienungsanleitungen,,B1,technik,"operating instructions, manual","инструкция по эксплуатации, руководство",,dwds,word_bedienungsanleitung-n.mp3,enriched
bedingung-n,Bedingung,die Bedingung,noun,fem.,Bedingungen,,B1,grundwortschatz,"condition, requirement","условие, требование",,dwds,word_bedingung-n.mp3,enriched
beeinflussen-v,beeinflussen,beeinflussen,verb,,,,B1,medien-internet,"influence, affect","влиять, оказывать влияние",,dwds,word_beeinflussen-v.mp3,enriched
befinden-v,befinden,befinden,verb,,,"befindet sich, befand sich, hat sich befunden",B1,grundwortschatz,"be located, be situated","находиться, располагаться",,dwds,word_befinden-v.mp3,enriched
